Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2015","2015","t","24246","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2016","2016","t","32843","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2017","2017","t","27291","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2018","2018","t","34413","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","t","18000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","t","17333.33","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","18234.12","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","17855.82","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2015","2015","t","89733","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2016","2016","t","140903","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2017","2017","t","170443","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2018","2018","t","217192","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2015","2015","t","87686","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2016","2016","t","17894","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2017","2017","t","131816","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2018","2018","t","109086","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2015","2015","t","403000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2016","2016","t","301856","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2017","2017","t","94995","A","Official figure",""
